Scientific.name;Common.name;count;Plot.number;Year;Month;Day;Survey.site;exuvia.observer.number;Observer..order.number;note
Aeshna interrupta;Variable Darner;1;32;2008;Aug;8;Bells Pond;;NA;
Aeshna canadensis;Canada Darner;1;32;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;10;32;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;3;33;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;35;2008;Aug;8;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;35;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;8;36;2008;Aug;8;Bells Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;2;2;2008;Jun;24;Bog Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;4;2008;Jun;24;Bog Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;1;7;2008;Jun;24;Bog Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;1;8;2008;Jun;24;Bog Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;10;2008;Jun;24;Bog Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;1;11;2008;Jun;24;Bog Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;12;2008;Jun;24;Bog Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;16;2008;Jun;24;Bog Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;16;2008;Jun;24;Bog Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;18;2008;Jun;24;Bog Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;2;19;2008;Jun;24;Bog Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;2;22;2008;Jun;24;Bog Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;23;2008;Jun;24;Bog Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;2;30;2008;Jun;24;Bog Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;1;30;2008;Jun;24;Bog Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;35;2008;Jun;24;Bog Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;5;36;2008;Jun;24;Bog Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;1;36;2008;Jun;24;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;2;5;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;2;6;2008;Aug;11;Bog Pond;;NA;
Sympetrum sp.;Meadowhawk species;1;7;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;8;2008;Aug;11;Bog Pond;;NA;
Sympetrum vicinum;Autumn Meadowhawk;1;10;2008;Aug;11;Bog Pond;;NA;
Aeshna interrupta;Variable Darner;1;10;2008;Aug;11;Bog Pond;;NA;
Aeshna canadensis;Canada Darner;1;10;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;4;10;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;11;2008;Aug;11;Bog Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;11;2008;Aug;11;Bog Pond;;NA;
Aeshna interrupta;Variable Darner;1;12;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;12;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;2;13;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;2;14;2008;Aug;11;Bog Pond;;NA;
Lestes sp.;Spreadwing species;3;15;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;5;15;2008;Aug;11;Bog Pond;;NA;
Aeshna interrupta;Variable Darner;1;18;2008;Aug;11;Bog Pond;;NA;
Aeshna interrupta;Variable Darner;2;19;2008;Aug;11;Bog Pond;;NA;
Aeshna canadensis;Canada Darner;1;20;2008;Aug;11;Bog Pond;;NA;
Aeshna interrupta;Variable Darner;1;20;2008;Aug;11;Bog Pond;;NA;
Aeshna interrupta;Variable Darner;3;21;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;21;2008;Aug;11;Bog Pond;;NA;
Aeshna interrupta;Variable Darner;1;22;2008;Aug;11;Bog Pond;;NA;
Lestes sp.;Spreadwing species;1;22;2008;Aug;11;Bog Pond;;NA;
Aeshna canadensis;Canada Darner;1;23;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;2;23;2008;Aug;11;Bog Pond;;NA;
Lestes sp.;Spreadwing species;1;23;2008;Aug;11;Bog Pond;;NA;
Aeshna interrupta;Variable Darner;1;24;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;4;24;2008;Aug;11;Bog Pond;;NA;
Aeshna canadensis;Canada Darner;1;26;2008;Aug;11;Bog Pond;;NA;
Lestes congener;Spotted Spreadwing;1;26;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;4;26;2008;Aug;11;Bog Pond;;NA;
Aeshna interrupta;Variable Darner;1;29;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;29;2008;Aug;11;Bog Pond;;NA;
Lestes sp.;Spreadwing species;1;29;2008;Aug;11;Bog Pond;;NA;
Sympetrum costiferum;Saffron-winged Meadowhawk;1;30;2008;Aug;11;Bog Pond;;NA;
Lestes congener;Spotted Spreadwing;1;30;2008;Aug;11;Bog Pond;;NA;
Lestes sp.;Spreadwing species;1;30;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;4;30;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;32;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;33;2008;Aug;11;Bog Pond;;NA;
Lestes sp.;Spreadwing species;1;33;2008;Aug;11;Bog Pond;;NA;
Aeshna canadensis;Canada Darner;1;34;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;34;2008;Aug;11;Bog Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;36;2008;Aug;11;Bog Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;4;2008;Aug;24;Bog Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;7;1;2008;Jun;26;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;11;2;2008;Jun;26;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;1;2;2008;Jun;26;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;8;2;2008;Jun;26;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;13;3;2008;Jun;26;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;3;2008;Jun;26;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;19;4;2008;Jun;26;Bowley Pond;;NA;
Lestes dryas;Emerald Spreadwing;15;5;2008;Jun;26;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;3;5;2008;Jun;26;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;1;6;2008;Jun;26;Bowley Pond;;NA;
Leucorrhinia proxima;Belted Whiteface;1;6;2008;Jun;26;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;7;2008;Jun;26;Bowley Pond;;NA;
Lestes dryas;Emerald Spreadwing;16;8;2008;Jun;26;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;7;8;2008;Jun;26;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;2;9;2008;Jun;26;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;9;9;2008;Jun;26;Bowley Pond;;NA;
Lestes dryas;Emerald Spreadwing;3;10;2008;Jun;26;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;10;10;2008;Jun;26;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;1;11;2008;Jun;26;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;11;2008;Jun;26;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;2;11;2008;Jun;26;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;1;12;2008;Jun;26;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;2;12;2008;Jun;26;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;2;12;2008;Jun;26;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;12;2008;Jun;26;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;3;13;2008;Jun;26;Bowley Pond;;NA;
Somatochlora williamsoni;Williamsons Emerald;1;13;2008;Jun;26;Bowley Pond;;NA;rare in PEI (S3-sensitive)
Libellula quadrimaculata;Four-spotted Skimmer;2;15;2008;Jun;26;Bowley Pond;;NA;
Cordulia shurtleffi;American Emerald;1;15;2008;Jun;26;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;16;2008;Jun;26;Bowley Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;1;16;2008;Jun;26;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;17;2008;Jun;26;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;2;18;2008;Jun;26;Bowley Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;3;18;2008;Jun;26;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;2;19;2008;Jun;26;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;19;2008;Jun;26;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;6;20;2008;Jun;26;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;1;20;2008;Jun;26;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;20;2008;Jun;26;Bowley Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;1;20;2008;Jun;26;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;7;22;2008;Jun;26;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;1;23;2008;Jun;26;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;2;23;2008;Jun;26;Bowley Pond;;NA;
Leucorrhinia proxima;Belted Whiteface;2;23;2008;Jun;26;Bowley Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;1;24;2008;Jun;26;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;4;25;2008;Jun;26;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;1;26;2008;Jun;26;Bowley Pond;;NA;
Cordulia shurtleffi;American Emerald;1;26;2008;Jun;26;Bowley Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;2;26;2008;Jun;26;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;1;27;2008;Jun;26;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;27;2008;Jun;26;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;2;29;2008;Jun;26;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;29;2008;Jun;26;Bowley Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;1;29;2008;Jun;26;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;29;2008;Jun;26;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;30;2008;Jun;26;Bowley Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;2;30;2008;Jun;26;Bowley Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;4;32;2008;Jun;26;Bowley Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;1;33;2008;Jun;26;Bowley Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;2;34;2008;Jun;26;Bowley Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;1;35;2008;Jun;26;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;35;2008;Jun;26;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;1;35;2008;Jun;26;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;4;36;2008;Jun;26;Bowley Pond;;NA;
Sympetrum costiferum;Saffron-winged Meadowhawk;1;1;2008;Aug;6;Bowley Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;1;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;4;2;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;4;2;2008;Aug;6;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;2;2008;Aug;6;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;1;3;2008;Aug;6;Bowley Pond;;NA;
Aeshna tuberculifera;Black-tipped Darner;1;3;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;1;3;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;6;4;2008;Aug;6;Bowley Pond;;NA;
Sympetrum semicinctum;Band-winged Meadowhawk;1;4;2008;Aug;6;Bowley Pond;;NA;rare in PEI (S3 sensitive), new species for the park !
Aeshna interrupta;Variable Darner;5;4;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;3;5;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;3;5;2008;Aug;6;Bowley Pond;;NA;
Sympetrum costiferum;Saffron-winged Meadowhawk;1;5;2008;Aug;6;Bowley Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;5;2008;Aug;6;Bowley Pond;;NA;
Cordulia shurtleffi;American Emerald;1;6;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;4;6;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;4;6;2008;Aug;6;Bowley Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;3;6;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;10;7;2008;Aug;6;Bowley Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;2;7;2008;Aug;6;Bowley Pond;;NA;
Sympetrum costiferum;Saffron-winged Meadowhawk;1;7;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;4;8;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;5;8;2008;Aug;6;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;2;8;2008;Aug;6;Bowley Pond;;NA;
Sympetrum internum;Cherry-faced Meadowhawk;1;8;2008;Aug;6;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;1;9;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;7;9;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;1;9;2008;Aug;6;Bowley Pond;;NA;
Cordulia shurtleffi;American Emerald;1;10;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;23;10;2008;Aug;6;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;1;10;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;4;10;2008;Aug;6;Bowley Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;10;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;11;11;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;8;11;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;27;12;2008;Aug;6;Bowley Pond;;NA;
Anax junius;Common Green Darner;1;12;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;1;12;2008;Aug;6;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;13;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;9;13;2008;Aug;6;Bowley Pond;;NA;
Anax junius;Common Green Darner;1;13;2008;Aug;6;Bowley Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;13;2008;Aug;6;Bowley Pond;;NA;
Sympetrum internum;Cherry-faced Meadowhawk;1;13;2008;Aug;6;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;1;14;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;7;14;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;2;14;2008;Aug;6;Bowley Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;14;2008;Aug;6;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;15;2008;Aug;6;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;1;16;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;3;16;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;17;17;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;2;18;2008;Aug;6;Bowley Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;18;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;13;18;2008;Aug;6;Bowley Pond;;NA;
Anax junius;Common Green Darner;1;18;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;14;19;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;2;19;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;18;20;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;22;21;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;3;22;2008;Aug;6;Bowley Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;2;22;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;3;22;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;6;23;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;5;24;2008;Aug;6;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;1;24;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;6;24;2008;Aug;6;Bowley Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;24;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;2;25;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;31;25;2008;Aug;6;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;1;25;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;22;26;2008;Aug;6;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;26;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;10;26;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;13;28;2008;Aug;6;Bowley Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;28;2008;Aug;6;Bowley Pond;;NA;
Aeshna canadensis;Canada Darner;1;29;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;3;29;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;1;29;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;1;30;2008;Aug;6;Bowley Pond;;NA;
Lestes sp.;Spreadwing species;1;30;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;2;31;2008;Aug;6;Bowley Pond;;NA;
Sympetrum sp.;Meadowhawk species;1;31;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;3;32;2008;Aug;6;Bowley Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;2;32;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;1;33;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;1;34;2008;Aug;6;Bowley Pond;;NA;
Aeshna interrupta;Variable Darner;2;35;2008;Aug;6;Bowley Pond;;NA;
Epitheca canis;Beaverpond Baskettail;1;1;2008;Jun;25;John Archies Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;8;1;2008;Jun;25;John Archies Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;1;2;2008;Jun;25;John Archies Pond;;NA;
